datetime,parameter,value
2026-06-14T19:00Z,co,650.0
2026-06-14T19:00Z,no2,96.2
2026-06-14T19:00Z,so2,41.8
2026-06-14T19:00Z,o3,1.0
2026-06-14T20:00Z,pm10,413.5
2026-06-14T20:00Z,pm25,152.7
2026-06-14T20:00Z,co,640.0
2026-06-14T20:00Z,no2,93.2
2026-06-14T20:00Z,so2,39.3
2026-06-14T20:00Z,o3,0.0
2026-06-14T21:00Z,pm10,380.0
2026-06-14T21:00Z,pm25,145.8
2026-06-14T21:00Z,co,597.0
2026-06-14T21:00Z,no2,89.4
2026-06-14T21:00Z,so2,37.1
2026-06-14T21:00Z,o3,1.0
2026-06-14T22:00Z,pm10,354.8
2026-06-14T22:00Z,pm25,140.6
2026-06-14T22:00Z,co,484.0
2026-06-14T22:00Z,no2,86.1
2026-06-14T22:00Z,so2,35.7
2026-06-14T22:00Z,o3,0.0
2026-06-14T23:00Z,pm10,317.6
2026-06-14T23:00Z,pm25,136.0
2026-06-14T23:00Z,co,339.0
2026-06-14T23:00Z,no2,82.0
2026-06-14T23:00Z,so2,34.7
2026-06-14T23:00Z,o3,0.0
2026-06-15T00:00Z,pm10,294.3
2026-06-15T00:00Z,pm25,88.7
2026-06-15T00:00Z,co,260.0
2026-06-15T00:00Z,no2,30.6
2026-06-15T00:00Z,so2,13.1
2026-06-15T00:00Z,o3,45.0
2026-06-15T01:00Z,pm10,255.2
2026-06-15T01:00Z,pm25,85.4
2026-06-15T01:00Z,co,320.0
2026-06-15T01:00Z,no2,26.9
2026-06-15T01:00Z,so2,13.6
2026-06-15T01:00Z,o3,54.0
2026-06-15T02:00Z,pm10,312.0
2026-06-15T02:00Z,pm25,88.2
2026-06-15T02:00Z,co,445.0
2026-06-15T02:00Z,no2,21.8
2026-06-15T02:00Z,so2,14.3
2026-06-15T02:00Z,o3,68.0
2026-06-15T03:00Z,pm10,258.0
2026-06-15T03:00Z,pm25,78.0
2026-06-15T03:00Z,co,516.0
2026-06-15T03:00Z,no2,16.9
2026-06-15T03:00Z,so2,15.2
2026-06-15T03:00Z,o3,86.0
2026-06-15T04:00Z,pm10,298.0
2026-06-15T04:00Z,pm25,79.2
2026-06-15T04:00Z,co,469.0
2026-06-15T04:00Z,no2,12.7
2026-06-15T04:00Z,so2,16.7
2026-06-15T04:00Z,o3,111.0
2026-06-15T05:00Z,pm10,324.1
2026-06-15T05:00Z,pm25,83.1
2026-06-15T05:00Z,co,367.0
2026-06-15T05:00Z,no2,8.8
2026-06-15T05:00Z,so2,18.4
2026-06-15T05:00Z,o3,139.0
2026-06-15T06:00Z,pm10,321.3
2026-06-15T06:00Z,pm25,83.4
2026-06-15T06:00Z,co,282.0
2026-06-15T06:00Z,no2,6.0
2026-06-15T06:00Z,so2,19.2
2026-06-15T06:00Z,o3,160.0
2026-06-15T07:00Z,pm10,300.8
2026-06-15T07:00Z,pm25,79.2
2026-06-15T07:00Z,co,237.0
2026-06-15T07:00Z,no2,4.5
2026-06-15T07:00Z,so2,18.2
2026-06-15T07:00Z,o3,168.0
2026-06-15T08:00Z,pm10,272.9
2026-06-15T08:00Z,pm25,75.4
2026-06-15T08:00Z,co,209.0
2026-06-15T08:00Z,no2,4.0
2026-06-15T08:00Z,so2,16.2
2026-06-15T08:00Z,o3,169.0
2026-06-15T09:00Z,pm10,267.3
2026-06-15T09:00Z,pm25,73.6
2026-06-15T09:00Z,co,203.0
2026-06-15T09:00Z,no2,4.3
2026-06-15T09:00Z,so2,14.6
2026-06-15T09:00Z,o3,166.0
2026-06-15T10:00Z,pm10,276.6
2026-06-15T10:00Z,pm25,73.8
2026-06-15T10:00Z,co,220.0
2026-06-15T10:00Z,no2,4.7
2026-06-15T10:00Z,so2,13.7
2026-06-15T10:00Z,o3,161.0
2026-06-15T11:00Z,pm10,333.4
2026-06-15T11:00Z,pm25,78.9
2026-06-15T11:00Z,co,258.0
2026-06-15T11:00Z,no2,5.9
2026-06-15T11:00Z,so2,13.1
2026-06-15T11:00Z,o3,152.0
2026-06-15T12:00Z,pm10,871.7
2026-06-15T12:00Z,pm25,136.0
2026-06-15T12:00Z,co,318.0
2026-06-15T12:00Z,no2,10.6
2026-06-15T12:00Z,so2,11.0
2026-06-15T12:00Z,o3,108.0
2026-06-15T13:00Z,pm10,815.8
2026-06-15T13:00Z,pm25,140.2
2026-06-15T13:00Z,co,405.0
2026-06-15T13:00Z,no2,19.1
2026-06-15T13:00Z,so2,13.6
2026-06-15T13:00Z,o3,90.0
2026-06-15T14:00Z,pm10,760.0
2026-06-15T14:00Z,pm25,145.8
2026-06-15T14:00Z,co,514.0
2026-06-15T14:00Z,no2,31.2
2026-06-15T14:00Z,so2,17.3
2026-06-15T14:00Z,o3,66.0
2026-06-15T15:00Z,pm10,704.1
2026-06-15T15:00Z,pm25,152.7
2026-06-15T15:00Z,co,630.0
2026-06-15T15:00Z,no2,43.3
2026-06-15T15:00Z,so2,21.1
2026-06-15T15:00Z,o3,44.0
2026-06-15T16:00Z,pm10,737.6
2026-06-15T16:00Z,pm25,161.6
2026-06-15T16:00Z,co,785.0
2026-06-15T16:00Z,no2,55.0
2026-06-15T16:00Z,so2,24.8
2026-06-15T16:00Z,o3,29.0
2026-06-15T17:00Z,pm10,802.8
2026-06-15T17:00Z,pm25,174.2
2026-06-15T17:00Z,co,948.0
2026-06-15T17:00Z,no2,66.7
2026-06-15T17:00Z,so2,28.6
2026-06-15T17:00Z,o3,17.0
2026-06-15T18:00Z,pm10,806.5
2026-06-15T18:00Z,pm25,183.9
2026-06-15T18:00Z,co,1005.0
2026-06-15T18:00Z,no2,75.3
2026-06-15T18:00Z,so2,32.0
2026-06-15T18:00Z,o3,8.0
2026-06-15T19:00Z,pm10,827.0
2026-06-15T19:00Z,pm25,192.3
2026-06-15T19:00Z,co,870.0
2026-06-15T19:00Z,no2,79.3
2026-06-15T19:00Z,so2,34.8
2026-06-15T19:00Z,o3,3.0
2026-06-15T20:00Z,pm10,823.3
2026-06-15T20:00Z,pm25,195.1
2026-06-15T20:00Z,co,630.0
2026-06-15T20:00Z,no2,80.2
2026-06-15T20:00Z,so2,37.3
2026-06-15T20:00Z,o3,1.0
2026-06-15T21:00Z,pm10,841.9
2026-06-15T21:00Z,pm25,197.4
2026-06-15T21:00Z,co,436.0
2026-06-15T21:00Z,no2,79.8
2026-06-15T21:00Z,so2,39.2
2026-06-15T21:00Z,o3,0.0
2026-06-15T22:00Z,pm10,843.8
2026-06-15T22:00Z,pm25,199.8
2026-06-15T22:00Z,co,340.0
2026-06-15T22:00Z,no2,79.2
2026-06-15T22:00Z,so2,40.2
2026-06-15T22:00Z,o3,0.0
2026-06-15T23:00Z,pm10,847.5
2026-06-15T23:00Z,pm25,200.7
2026-06-15T23:00Z,co,289.0
2026-06-15T23:00Z,no2,77.4
2026-06-15T23:00Z,so2,40.8
2026-06-15T23:00Z,o3,0.0
2026-06-16T00:00Z,pm10,523.4
2026-06-16T00:00Z,pm25,145.3
2026-06-16T00:00Z,co,277.0
2026-06-16T00:00Z,no2,41.8
2026-06-16T00:00Z,so2,23.9
2026-06-16T00:00Z,o3,18.0
2026-06-16T01:00Z,pm10,448.0
2026-06-16T01:00Z,pm25,144.8
2026-06-16T01:00Z,co,327.0
2026-06-16T01:00Z,no2,37.5
2026-06-16T01:00Z,so2,26.4
2026-06-16T01:00Z,o3,34.0
2026-06-16T02:00Z,pm10,538.3
2026-06-16T02:00Z,pm25,143.9
2026-06-16T02:00Z,co,415.0
2026-06-16T02:00Z,no2,31.4
2026-06-16T02:00Z,so2,29.7
2026-06-16T02:00Z,o3,56.0
2026-06-16T03:00Z,pm10,542.0
2026-06-16T03:00Z,pm25,130.4
2026-06-16T03:00Z,co,463.0
2026-06-16T03:00Z,no2,25.2
2026-06-16T03:00Z,so2,30.7
2026-06-16T03:00Z,o3,79.0
2026-06-16T04:00Z,pm10,542.0
2026-06-16T04:00Z,pm25,113.6
2026-06-16T04:00Z,co,425.0
2026-06-16T04:00Z,no2,18.9
2026-06-16T04:00Z,so2,27.4
2026-06-16T04:00Z,o3,102.0
2026-06-16T05:00Z,pm10,521.5
2026-06-16T05:00Z,pm25,101.3
2026-06-16T05:00Z,co,347.0
2026-06-16T05:00Z,no2,12.4
2026-06-16T05:00Z,so2,22.0
2026-06-16T05:00Z,o3,126.0
2026-06-16T06:00Z,pm10,491.7
2026-06-16T06:00Z,pm25,94.5
2026-06-16T06:00Z,co,287.0
2026-06-16T06:00Z,no2,7.6
2026-06-16T06:00Z,so2,17.6
2026-06-16T06:00Z,o3,145.0
2026-06-16T07:00Z,pm10,467.5
2026-06-16T07:00Z,pm25,91.5
2026-06-16T07:00Z,co,266.0
2026-06-16T07:00Z,no2,5.1
2026-06-16T07:00Z,so2,15.7
2026-06-16T07:00Z,o3,157.0
2026-06-16T08:00Z,pm10,412.6
2026-06-16T08:00Z,pm25,85.4
2026-06-16T08:00Z,co,262.0
2026-06-16T08:00Z,no2,4.3
2026-06-16T08:00Z,so2,14.8
2026-06-16T08:00Z,o3,164.0
2026-06-16T09:00Z,pm10,367.9
2026-06-16T09:00Z,pm25,80.6
2026-06-16T09:00Z,co,270.0
2026-06-16T09:00Z,no2,4.7
2026-06-16T09:00Z,so2,14.4
2026-06-16T09:00Z,o3,165.0
2026-06-16T10:00Z,pm10,355.8
2026-06-16T10:00Z,pm25,79.6
2026-06-16T10:00Z,co,289.0
2026-06-16T10:00Z,no2,6.1
2026-06-16T10:00Z,so2,13.9
2026-06-16T10:00Z,o3,160.0
2026-06-16T11:00Z,pm10,358.6
2026-06-16T11:00Z,pm25,78.9
2026-06-16T11:00Z,co,320.0
2026-06-16T11:00Z,no2,8.6
2026-06-16T11:00Z,so2,13.9
2026-06-16T11:00Z,o3,150.0
2026-06-16T12:00Z,pm10,203.5
2026-06-16T12:00Z,pm25,50.6
2026-06-16T12:00Z,co,358.0
2026-06-16T12:00Z,no2,10.4
2026-06-16T12:00Z,so2,16.5
2026-06-16T12:00Z,o3,152.0
2026-06-16T13:00Z,pm10,190.5
2026-06-16T13:00Z,pm25,53.4
2026-06-16T13:00Z,co,405.0
2026-06-16T13:00Z,no2,25.0
2026-06-16T13:00Z,so2,19.3
2026-06-16T13:00Z,o3,125.0
2026-06-16T14:00Z,pm10,182.5
2026-06-16T14:00Z,pm25,63.8
2026-06-16T14:00Z,co,459.0
2026-06-16T14:00Z,no2,45.7
2026-06-16T14:00Z,so2,23.5
2026-06-16T14:00Z,o3,87.0
2026-06-16T15:00Z,pm10,202.6
2026-06-16T15:00Z,pm25,78.0
2026-06-16T15:00Z,co,505.0
2026-06-16T15:00Z,no2,65.5
2026-06-16T15:00Z,so2,28.8
2026-06-16T15:00Z,o3,54.0
2026-06-16T16:00Z,pm10,224.9
2026-06-16T16:00Z,pm25,91.0
2026-06-16T16:00Z,co,532.0
2026-06-16T16:00Z,no2,84.0
2026-06-16T16:00Z,so2,36.7
2026-06-16T16:00Z,o3,31.0
2026-06-16T17:00Z,pm10,239.3
2026-06-16T17:00Z,pm25,104.8
2026-06-16T17:00Z,co,553.0
2026-06-16T17:00Z,no2,101.6
2026-06-16T17:00Z,so2,45.8
2026-06-16T17:00Z,o3,14.0
2026-06-16T18:00Z,pm10,249.6
2026-06-16T18:00Z,pm25,115.9
2026-06-16T18:00Z,co,588.0
2026-06-16T18:00Z,no2,113.0
2026-06-16T18:00Z,so2,51.7
2026-06-16T18:00Z,o3,2.0
2026-06-16T19:00Z,pm10,253.3
2026-06-16T19:00Z,pm25,120.6
2026-06-16T19:00Z,co,653.0
2026-06-16T19:00Z,no2,114.9
2026-06-16T19:00Z,so2,52.2
2026-06-16T19:00Z,o3,0.0
2026-06-16T20:00Z,pm10,258.0
2026-06-16T20:00Z,pm25,117.8
2026-06-16T20:00Z,co,733.0
2026-06-16T20:00Z,no2,110.6
2026-06-16T20:00Z,so2,49.6
2026-06-16T20:00Z,o3,0.0
2026-06-16T21:00Z,pm10,283.1
2026-06-16T21:00Z,pm25,114.3
2026-06-16T21:00Z,co,804.0
2026-06-16T21:00Z,no2,104.4
2026-06-16T21:00Z,so2,46.1
2026-06-16T21:00Z,o3,0.0
2026-06-16T22:00Z,pm10,327.8
2026-06-16T22:00Z,pm25,115.3
2026-06-16T22:00Z,co,864.0
2026-06-16T22:00Z,no2,97.3
2026-06-16T22:00Z,so2,41.8
2026-06-16T22:00Z,o3,0.0
2026-06-16T23:00Z,pm10,380.9
2026-06-16T23:00Z,pm25,120.1
2026-06-16T23:00Z,co,914.0
2026-06-16T23:00Z,no2,88.3
2026-06-16T23:00Z,so2,36.6
2026-06-16T23:00Z,o3,0.0
2026-06-17T00:00Z,pm10,497.3
2026-06-17T00:00Z,pm25,95.5
2026-06-17T00:00Z,co,937.0
2026-06-17T00:00Z,no2,39.9
2026-06-17T00:00Z,so2,24.0
2026-06-17T00:00Z,o3,38.0
2026-06-17T01:00Z,pm10,441.4
2026-06-17T01:00Z,pm25,94.8
2026-06-17T01:00Z,co,924.0
2026-06-17T01:00Z,no2,35.4
2026-06-17T01:00Z,so2,23.2
2026-06-17T01:00Z,o3,49.0
2026-06-17T02:00Z,pm10,495.5
2026-06-17T02:00Z,pm25,100.1
2026-06-17T02:00Z,co,883.0
2026-06-17T02:00Z,no2,28.9
2026-06-17T02:00Z,so2,22.1
2026-06-17T02:00Z,o3,65.0
2026-06-17T03:00Z,pm10,594.2
2026-06-17T03:00Z,pm25,107.6
2026-06-17T03:00Z,co,818.0
2026-06-17T03:00Z,no2,23.0
2026-06-17T03:00Z,so2,21.8
2026-06-17T03:00Z,o3,83.0
2026-06-17T04:00Z,pm10,657.5
2026-06-17T04:00Z,pm25,112.2
2026-06-17T04:00Z,co,711.0
2026-06-17T04:00Z,no2,18.2
2026-06-17T04:00Z,so2,23.4
2026-06-17T04:00Z,o3,105.0
2026-06-17T05:00Z,pm10,692.9
2026-06-17T05:00Z,pm25,118.3
2026-06-17T05:00Z,co,580.0
2026-06-17T05:00Z,no2,13.9
2026-06-17T05:00Z,so2,25.8
2026-06-17T05:00Z,o3,129.0
2026-06-17T06:00Z,pm10,689.2
2026-06-17T06:00Z,pm25,120.6
2026-06-17T06:00Z,co,479.0
2026-06-17T06:00Z,no2,10.4
2026-06-17T06:00Z,so2,26.8
2026-06-17T06:00Z,o3,150.0
2026-06-17T07:00Z,pm10,670.6
2026-06-17T07:00Z,pm25,121.5
2026-06-17T07:00Z,co,436.0
2026-06-17T07:00Z,no2,7.7
2026-06-17T07:00Z,so2,25.2
2026-06-17T07:00Z,o3,166.0
2026-06-17T08:00Z,pm10,644.5
2026-06-17T08:00Z,pm25,118.3
2026-06-17T08:00Z,co,423.0
2026-06-17T08:00Z,no2,5.9
2026-06-17T08:00Z,so2,22.3
2026-06-17T08:00Z,o3,178.0
2026-06-17T09:00Z,pm10,620.3
2026-06-17T09:00Z,pm25,114.3
2026-06-17T09:00Z,co,409.0
2026-06-17T09:00Z,no2,5.5
2026-06-17T09:00Z,so2,19.7
2026-06-17T09:00Z,o3,182.0
2026-06-17T10:00Z,pm10,594.2
2026-06-17T10:00Z,pm25,109.7
2026-06-17T10:00Z,co,367.0
2026-06-17T10:00Z,no2,5.9
2026-06-17T10:00Z,so2,17.7
2026-06-17T10:00Z,o3,177.0
2026-06-17T11:00Z,pm10,560.7
2026-06-17T11:00Z,pm25,103.8
2026-06-17T11:00Z,co,323.0
2026-06-17T11:00Z,no2,7.7
2026-06-17T11:00Z,so2,16.1
2026-06-17T11:00Z,o3,165.0
2026-06-17T12:00Z,pm10,416.3
2026-06-17T12:00Z,pm25,77.5
2026-06-17T12:00Z,co,325.0
2026-06-17T12:00Z,no2,10.7
2026-06-17T12:00Z,so2,13.6
2026-06-17T12:00Z,o3,140.0
2026-06-17T13:00Z,pm10,385.6
2026-06-17T13:00Z,pm25,79.9
2026-06-17T13:00Z,co,405.0
2026-06-17T13:00Z,no2,22.0
2026-06-17T13:00Z,so2,15.6
2026-06-17T13:00Z,o3,117.0
2026-06-17T14:00Z,pm10,395.8
2026-06-17T14:00Z,pm25,88.2
2026-06-17T14:00Z,co,531.0
2026-06-17T14:00Z,no2,38.0
2026-06-17T14:00Z,so2,18.5
2026-06-17T14:00Z,o3,85.0
2026-06-17T15:00Z,pm10,381.8
2026-06-17T15:00Z,pm25,99.2
2026-06-17T15:00Z,co,656.0
2026-06-17T15:00Z,no2,53.4
2026-06-17T15:00Z,so2,22.1
2026-06-17T15:00Z,o3,57.0
2026-06-17T16:00Z,pm10,380.0
2026-06-17T16:00Z,pm25,109.4
2026-06-17T16:00Z,co,769.0
2026-06-17T16:00Z,no2,67.5
2026-06-17T16:00Z,so2,26.7
2026-06-17T16:00Z,o3,37.0
2026-06-17T17:00Z,pm10,409.8
2026-06-17T17:00Z,pm25,122.5
2026-06-17T17:00Z,co,880.0
2026-06-17T17:00Z,no2,80.9
2026-06-17T17:00Z,so2,31.9
2026-06-17T17:00Z,o3,21.0
2026-06-17T18:00Z,pm10,439.6
2026-06-17T18:00Z,pm25,133.6
2026-06-17T18:00Z,co,980.0
2026-06-17T18:00Z,no2,91.0
2026-06-17T18:00Z,so2,36.2
2026-06-17T18:00Z,o3,9.0
2026-06-17T19:00Z,pm10,461.9
2026-06-17T19:00Z,pm25,142.5
2026-06-17T19:00Z,co,1075.0
2026-06-17T19:00Z,no2,96.0
2026-06-17T19:00Z,so2,38.9
2026-06-17T19:00Z,o3,3.0
2026-06-17T20:00Z,pm10,480.6
2026-06-17T20:00Z,pm25,150.4
2026-06-17T20:00Z,co,1157.0
2026-06-17T20:00Z,no2,97.5
2026-06-17T20:00Z,so2,40.8
2026-06-17T20:00Z,o3,1.0
2026-06-17T21:00Z,pm10,497.3
2026-06-17T21:00Z,pm25,156.5
2026-06-17T21:00Z,co,1193.0
2026-06-17T21:00Z,no2,97.8
2026-06-17T21:00Z,so2,42.3
2026-06-17T21:00Z,o3,1.0
2026-06-17T22:00Z,pm10,508.5
2026-06-17T22:00Z,pm25,161.1
2026-06-17T22:00Z,co,1157.0
2026-06-17T22:00Z,no2,98.3
2026-06-17T22:00Z,so2,43.4
2026-06-17T22:00Z,o3,0.0
2026-06-17T23:00Z,pm10,512.2
2026-06-17T23:00Z,pm25,164.4
2026-06-17T23:00Z,co,1074.0
2026-06-17T23:00Z,no2,97.5
2026-06-17T23:00Z,so2,44.1
2026-06-17T23:00Z,o3,0.0
2026-06-18T00:00Z,pm10,223.1
2026-06-18T00:00Z,pm25,85.0
2026-06-18T00:00Z,co,993.0
2026-06-18T00:00Z,no2,48.8
2026-06-18T00:00Z,so2,24.9
2026-06-18T00:00Z,o3,22.0
2026-06-18T01:00Z,pm10,213.7
2026-06-18T01:00Z,pm25,89.6
2026-06-18T01:00Z,co,941.0
2026-06-18T01:00Z,no2,44.5
2026-06-18T01:00Z,so2,28.3
2026-06-18T01:00Z,o3,40.0
2026-06-18T02:00Z,pm10,221.2
2026-06-18T02:00Z,pm25,89.9
2026-06-18T02:00Z,co,891.0
2026-06-18T02:00Z,no2,38.3
2026-06-18T02:00Z,so2,32.8
2026-06-18T02:00Z,o3,65.0
2026-06-18T03:00Z,pm10,289.6
2026-06-18T03:00Z,pm25,90.1
2026-06-18T03:00Z,co,804.0
2026-06-18T03:00Z,no2,31.2
2026-06-18T03:00Z,so2,34.6
2026-06-18T03:00Z,o3,92.0
2026-06-18T04:00Z,pm10,300.8
2026-06-18T04:00Z,pm25,88.2
2026-06-18T04:00Z,co,639.0
2026-06-18T04:00Z,no2,22.4
2026-06-18T04:00Z,so2,31.1
2026-06-18T04:00Z,o3,123.0
2026-06-18T05:00Z,pm10,217.9
2026-06-18T05:00Z,pm25,72.6
2026-06-18T05:00Z,co,437.0
2026-06-18T05:00Z,no2,12.7
2026-06-18T05:00Z,so2,24.9
2026-06-18T05:00Z,o3,155.0
2026-06-18T06:00Z,pm10,158.8
2026-06-18T06:00Z,pm25,58.4
2026-06-18T06:00Z,co,289.0
2026-06-18T06:00Z,no2,5.6
2026-06-18T06:00Z,so2,19.7
2026-06-18T06:00Z,o3,178.0
2026-06-18T07:00Z,pm10,204.4
2026-06-18T07:00Z,pm25,62.2
2026-06-18T07:00Z,co,240.0
2026-06-18T07:00Z,no2,3.0
2026-06-18T07:00Z,so2,16.8
2026-06-18T07:00Z,o3,185.0
2026-06-18T08:00Z,pm10,204.4
2026-06-18T08:00Z,pm25,59.5
2026-06-18T08:00Z,co,244.0
2026-06-18T08:00Z,no2,3.0
2026-06-18T08:00Z,so2,14.9
2026-06-18T08:00Z,o3,181.0
2026-06-18T09:00Z,pm10,182.1
2026-06-18T09:00Z,pm25,56.1
2026-06-18T09:00Z,co,256.0
2026-06-18T09:00Z,no2,4.0
2026-06-18T09:00Z,so2,13.5
2026-06-18T09:00Z,o3,175.0
2026-06-18T10:00Z,pm10,249.6
2026-06-18T10:00Z,pm25,61.9
2026-06-18T10:00Z,co,260.0
2026-06-18T10:00Z,no2,5.2
2026-06-18T10:00Z,so2,12.5
2026-06-18T10:00Z,o3,168.0
2026-06-18T11:00Z,pm10,231.4
2026-06-18T11:00Z,pm25,60.3
2026-06-18T11:00Z,co,272.0
2026-06-18T11:00Z,no2,7.3
2026-06-18T11:00Z,so2,12.0
2026-06-18T11:00Z,o3,158.0
2026-06-18T12:00Z,pm10,246.8
2026-06-18T12:00Z,pm25,56.7
2026-06-18T12:00Z,co,298.0
2026-06-18T12:00Z,no2,10.3
2026-06-18T12:00Z,so2,10.8
2026-06-18T12:00Z,o3,138.0
2026-06-18T13:00Z,pm10,291.5
2026-06-18T13:00Z,pm25,64.5
2026-06-18T13:00Z,co,351.0
2026-06-18T13:00Z,no2,16.8
2026-06-18T13:00Z,so2,12.3
2026-06-18T13:00Z,o3,121.0
2026-06-18T14:00Z,pm10,366.9
2026-06-18T14:00Z,pm25,77.1
2026-06-18T14:00Z,co,418.0
2026-06-18T14:00Z,no2,25.8
2026-06-18T14:00Z,so2,14.4
2026-06-18T14:00Z,o3,97.0
2026-06-18T15:00Z,pm10,382.8
2026-06-18T15:00Z,pm25,86.8
2026-06-18T15:00Z,co,467.0
2026-06-18T15:00Z,no2,33.3
2026-06-18T15:00Z,so2,16.5
2026-06-18T15:00Z,o3,77.0
2026-06-18T16:00Z,pm10,382.8
2026-06-18T16:00Z,pm25,93.6
2026-06-18T16:00Z,co,482.0
2026-06-18T16:00Z,no2,37.4
2026-06-18T16:00Z,so2,18.4
2026-06-18T16:00Z,o3,65.0
2026-06-18T17:00Z,pm10,379.0
2026-06-18T17:00Z,pm25,99.9
2026-06-18T17:00Z,co,479.0
2026-06-18T17:00Z,no2,39.9
2026-06-18T17:00Z,so2,20.3
2026-06-18T17:00Z,o3,57.0
2026-06-18T18:00Z,pm10,372.5
2026-06-18T18:00Z,pm25,105.2
2026-06-18T18:00Z,co,468.0
2026-06-18T18:00Z,no2,42.8
2026-06-18T18:00Z,so2,21.9
2026-06-18T18:00Z,o3,50.0
2026-06-18T19:00Z,pm10,353.9
2026-06-18T19:00Z,pm25,108.0
2026-06-18T19:00Z,co,451.0
2026-06-18T19:00Z,no2,46.7
2026-06-18T19:00Z,so2,22.7
2026-06-18T19:00Z,o3,42.0
2026-06-18T20:00Z,pm10,334.3
2026-06-18T20:00Z,pm25,110.1
2026-06-18T20:00Z,co,427.0
2026-06-18T20:00Z,no2,50.8
2026-06-18T20:00Z,so2,23.2
2026-06-18T20:00Z,o3,35.0
2026-06-18T21:00Z,pm10,324.1
2026-06-18T21:00Z,pm25,112.9
2026-06-18T21:00Z,co,402.0
2026-06-18T21:00Z,no2,55.2
2026-06-18T21:00Z,so2,24.6
2026-06-18T21:00Z,o3,29.0
2026-06-18T22:00Z,pm10,325.0
2026-06-18T22:00Z,pm25,117.3
2026-06-18T22:00Z,co,369.0
2026-06-18T22:00Z,no2,61.5
2026-06-18T22:00Z,so2,27.7
2026-06-18T22:00Z,o3,20.0
2026-06-18T23:00Z,pm10,328.8
2026-06-18T23:00Z,pm25,122.5
2026-06-18T23:00Z,co,336.0
2026-06-18T23:00Z,no2,68.1
2026-06-18T23:00Z,so2,31.8
2026-06-18T23:00Z,o3,11.0
2026-06-19T00:00Z,pm10,687.3
2026-06-19T00:00Z,pm25,142.0
2026-06-19T00:00Z,co,328.0
2026-06-19T00:00Z,no2,20.1
2026-06-19T00:00Z,so2,12.4
2026-06-19T00:00Z,o3,47.0
2026-06-19T01:00Z,pm10,722.7
2026-06-19T01:00Z,pm25,154.1
2026-06-19T01:00Z,co,372.0
2026-06-19T01:00Z,no2,20.5
2026-06-19T01:00Z,so2,14.5
2026-06-19T01:00Z,o3,50.0
2026-06-19T02:00Z,pm10,715.3
2026-06-19T02:00Z,pm25,156.9
2026-06-19T02:00Z,co,442.0
2026-06-19T02:00Z,no2,20.8
2026-06-19T02:00Z,so2,17.5
2026-06-19T02:00Z,o3,56.0
2026-06-19T03:00Z,pm10,694.8
2026-06-19T03:00Z,pm25,152.7
2026-06-19T03:00Z,co,487.0
2026-06-19T03:00Z,no2,19.8
2026-06-19T03:00Z,so2,20.0
2026-06-19T03:00Z,o3,71.0
2026-06-19T04:00Z,pm10,601.6
2026-06-19T04:00Z,pm25,141.1
2026-06-19T04:00Z,co,483.0
2026-06-19T04:00Z,no2,16.1
2026-06-19T04:00Z,so2,21.8
2026-06-19T04:00Z,o3,105.0
2026-06-19T05:00Z,pm10,542.0
2026-06-19T05:00Z,pm25,133.2
2026-06-19T05:00Z,co,455.0
2026-06-19T05:00Z,no2,11.1
2026-06-19T05:00Z,so2,23.0
2026-06-19T05:00Z,o3,149.0
2026-06-19T06:00Z,pm10,514.1
2026-06-19T06:00Z,pm25,126.2
2026-06-19T06:00Z,co,422.0
2026-06-19T06:00Z,no2,7.1
2026-06-19T06:00Z,so2,23.0
2026-06-19T06:00Z,o3,181.0
2026-06-19T07:00Z,pm10,620.3
2026-06-19T07:00Z,pm25,133.6
2026-06-19T07:00Z,co,385.0
2026-06-19T07:00Z,no2,5.1
2026-06-19T07:00Z,so2,21.0
2026-06-19T07:00Z,o3,192.0
2026-06-19T08:00Z,pm10,597.9
2026-06-19T08:00Z,pm25,129.9
2026-06-19T08:00Z,co,344.0
2026-06-19T08:00Z,no2,4.2
2026-06-19T08:00Z,so2,17.7
2026-06-19T08:00Z,o3,191.0
2026-06-19T09:00Z,pm10,523.4
2026-06-19T09:00Z,pm25,117.1
2026-06-19T09:00Z,co,315.0
2026-06-19T09:00Z,no2,4.4
2026-06-19T09:00Z,so2,14.9
2026-06-19T09:00Z,o3,184.0
2026-06-19T10:00Z,pm10,443.3
2026-06-19T10:00Z,pm25,102.0
2026-06-19T10:00Z,co,305.0
2026-06-19T10:00Z,no2,5.4
2026-06-19T10:00Z,so2,13.1
2026-06-19T10:00Z,o3,172.0
2026-06-19T11:00Z,pm10,396.7
2026-06-19T11:00Z,pm25,91.7
2026-06-19T11:00Z,co,307.0
2026-06-19T11:00Z,no2,7.5
2026-06-19T11:00Z,so2,11.7
2026-06-19T11:00Z,o3,155.0
2026-06-19T12:00Z,pm10,657.5
2026-06-19T12:00Z,pm25,118.7
2026-06-19T12:00Z,co,320.0
2026-06-19T12:00Z,no2,9.8
2026-06-19T12:00Z,so2,10.2
2026-06-19T12:00Z,o3,133.0
2026-06-19T13:00Z,pm10,791.6
2026-06-19T13:00Z,pm25,136.0
2026-06-19T13:00Z,co,347.0
2026-06-19T13:00Z,no2,12.8
2026-06-19T13:00Z,so2,10.7
2026-06-19T13:00Z,o3,119.0
2026-06-19T14:00Z,pm10,925.7
2026-06-19T14:00Z,pm25,155.5
2026-06-19T14:00Z,co,384.0
2026-06-19T14:00Z,no2,17.2
2026-06-19T14:00Z,so2,11.4
